Artist,Title,Collection Price
Charly McClain,Radio Heart,3
Bobby Vinton,Ev'ry Day Of My Life,3
Bobby Vinton,Sealed With A Kiss,3
Johnny Paycheck,Take This Job And Shove It,5
Johnny Rodriguez (4),Rodriguez,3
Engelbert Humperdinck,After The Lovin',3
Various,The Idols,3
Randy Van Horne Singers,Sleighride,3
Creedence Clearwater Revival,Green River,10
Creedence Clearwater Revival,Cosmo's Factory,10
Stanley Turrentine,West Side Highway,5
Tom Paxton,Even A Gray Day,3
The Lundstroms,A Fresh Touch,10
Lundstrom Singers,Movin' Ahead,3
Lundstrom Singers,Crusade Favorites,7
Twenty One Pilots,Vessel,15
Twenty One Pilots,Blurryface,20
Panic! At The Disco,Death Of A Bachelor,15
Paramore,After Laughter,20
Panic! At The Disco,Pray For The Wicked,20
Paramore,Brand New Eyes,30
Dan Fogelberg,Greatest Hits,3
Flavia Band,Good-Bye Bambina,3
The Intruders,Save The Children,5
Eric Carmen,Eric Carmen,3
Dave & Dana,Morning Star,3
The Mills Brothers,The Very Best Of The Mills Brothers ,5
Various,Golden Sounds Of Country Music,3
Jimmy Dean,The Country's Favorite Son,3
Heritage Singers USA,Let's Just Praise The Lord,10
Jan Garber And His Orchestra,"The Uncollected Jan Garber, 1939-1941",3
Marvin Payne,Grasshopper,3
"Bill & Gloria Gaither, Ronn Huff",Alleluia! A Praise Gathering for Believers,5
The Charleston Trio,The Charleston Trio Sing Americana,3
Steve Winwood,Back In The High Life,5
Potliquor,Levee Blues,7
Norfolk & Western,A Gilded Age,10
Damascus Road,A Glimpse Of Freedom,10
Carl Perkins,Ol' Blue Suede's Back,3
Various,County Line (Cross Over To Country Original Hits & Stars),3
Phil Coulter,Classic Tranquility,3
Various,SuperStars In Country Music,3
Frank Mills,The Magic Of Frank Mills,3
Ian Lloyd & Stories,Traveling Underground,5
The Lovin' Spoonful,The Best Of The Lovin' Spoonful,7
Stories,About Us,5
The Lovin' Spoonful,You're A Big Boy Now - The Original Sound Track Album,7
Billy Edd Wheeler,Memories Of America / Ode To The Little Brown Shack Out Back,3
Roger Williams (2),For You,3
Chris Proctor,Runoff,5
Marvin Gaye,Marvin Gaye's Greatest Hits Volume 2,10
Various,15 Top Ten Hits: Volume One,3
Circle Jerks,Golden Shower Of Hits,45
Melveen Leed,Melveen--The Hawaiian Country Girl,5
Melveen Leed,My Hawaiian Song Of Love,7
Melveen Leed,I Love You Hawaii,5
Melveen Leed,Melveen With The Best Of Slack-Key,7
Bobby Vee,Golden Greats Volume Two,3
Gary Lewis & The Playboys,Golden Greats,3
Kentucky Express,Kentucky Express,10
Michael Martin Murphey,Michael Martin Murphey,3
Henry Gross,Release,3
The Archers (3),...Things We Deeply Feel,3
Big Punisher,How We Roll,3
R.J.'s Latest Arrival,Hold On,3
Erick Nelson (2),Flow River Flow,3
Praise Strings,The Best Of Praise Strings,3
Ashley Alexander (2),Plays Frank Mantooth,15
Freddy Fender (2),Christmas Time In The Valley,3
Steppenwolf,16 Greatest Hits,10
Olivia Newton-John,Clearly Love,3
B.J. Thomas,B.J. Thomas,3
Merle Haggard,My Farewell To Elvis,5
Marvin Hamlisch,The Sting (Original Motion Picture Soundtrack),3
"Leslie Bricusse, John Williams (4)","Goodbye, Mr Chips (Original Motion Picture Soundtrack)",7
Elton John,Victim Of Love,5
Rossington Collins Band,"Anytime, Anyplace, Anywhere",3
Barbara Mandrell,Love Is Fair,3
Lalo Schifrin,The Competition (Music From The Original Motion Picture Soundtrack),3
Barbara Mandrell,Live,3
Barbara Mandrell,Live,3
The Oak Ridge Boys,Christmas Again,3
Mary J. Blige Featuring Ja Rule,Rainy Dayz,3
Conway Twitty,Twitty,3
Frankie Avalon,Best Of Frankie Avalon,3
Lee Greenwood,Inside Out,3
B.J. Thomas,For The Best,3
The Clebanoff Strings,Exciting Sounds,3
Various,Endless Love Original Motion Picture Soundtrack,3
Gary Brooker,Lead Me To The Water,5
Jacky Ward,Rainbow,3
Sarah Vaughan,The Magic Of Sarah Vaughan,5
Leroy Van Dyke,Movin' Van Dyke,3
The Platters,The Flying Platters,3
Big Country,Wonderland,3
Horst Jankowski,More Genius Of Jankowski,3
Buddy Collette And His Swinging Shepherds,Buddy Collette's Swinging Shepherds,7
Robert Goulet,I Never Did As I Was Told,3
Connie Francis,The Very Best Of Connie Francis,3
The Osmonds,The Proud One,3
Donny & Marie Osmond,I'm Leaving It All Up To You,3
Marie Osmond,Who's Sorry Now,5
The Osmonds,The Osmonds Live,3
The Osmonds,The Proud One,3
Petula Clark,Now,3
Wayne Newton,One More Time,3
The Osmonds,Osmonds,3
Vladimir Cosma,Diva (Bande Originale Du Film),3
Sonny Rollins,The Way I Feel,7
Kano,New York Cake,10
Boots Randolph,"Homer Louis Randolph, III",3
Billy Preston,Late At Night,3
Thelma Houston,Thelma Houston,3
Los Mensajeros De La Alegria,Navidades Blancas (White Christmas),5
Mark Jorg,Come Home My Son,10
Iain Matthews,Stealin' Home,3
Gloria Estefan,"Hold Me, Thrill Me, Kiss Me",20
Duke Ellington And His Orchestra,Up In Duke's Workshop,5
"Herb Ellis, Joe Pass",Two For The Road,5
Gene Pitney,Greatest Hits Of All Times,3
Don Francisco (2),One Heart At A Time,5
B.J. Thomas,Home Where I Belong,3
B.J. Thomas,Happy Man,3
Don Francisco (2),Brother Of The Son,5
Don Francisco (2),The Traveler,7
Don Francisco (2),Holiness,5
The Four R's,Sacred Seasons,3
Young Ambassadors,A Brand New Day,3
Your Meteor,Byzantium,10
Harvi Griffin,The Voice And Harp,7
Spirit (8),The Family That Plays Together,5
The Vibrations,Shout!,15
Cris Williamson,The Changer And The Changed,3
Rand And Betty,Crisp Country Mornin',15
The Kendalls,Heaven's Just A Sin Away,3
The Kendalls,Old Fashioned Love,3
Truth (31),Now... This Is Christmas,5
Engelbert Humperdinck,Release Me,3
Engelbert Humperdinck,"Another Time, Another Place",3
Les Hooper,Hoopla,5
S.M. Wolf,Bad Ocean,7
Floyd Westerman,Custer Died For Your Sins,7
Billy Paul,Got My Head On Straight,7
Phyllis Hyman,Living All Alone,5
Paul Mauriat And His Orchestra,Blooming Hits,3
Various,Country Christmas,3
Nancy Wilson,Goin' Out Of My Head,3
Dionne Warwick,Make It Easy On Yourself,3
Pat Travers Band,...Live! Go For What You Know,3
Donny & Marie Osmond,Featuring Songs From Their Television Show,3
Donny & Marie Osmond,New Season,3
Marie Osmond,This Is The Way That I Feel,3
Donny & Marie Osmond,Winning Combination,3
John Mayall,Back To The Roots,3
Billy 'Crash' Craddock,I'm Tore Up,7
Stan Getz,Stan Getz,7
The World's Greatest Jazzband Of Yank Lawson & Bob Haggart,Extra!,3
James Ingram,It's Your Night,3
Tommy Dorsey / Eddie Condon,Tommy Dorsey On Radio / Eddie Condon's Jazz Concert,3
Country Joe McDonald,Childs Play,5
Rare Earth,Rare Earth In Concert,5
Jim Reeves,Pure Gold - Volume One,3
Porter Wagoner,The Farmer,3
Jim Ed Brown & Helen Cornelius,Born Believer,3
Porter Wagoner,"Green, Green Grass Of Home",3
Peter Nero,If Ever I Would Leave You,3
The Bluegrass Banjo Pickers,Foggy Mountain Breakdown And Other Music From The Bonnie And Clyde Era,3
"Chet Atkins, Floyd Cramer, Boots Randolph","Chet, Floyd & Boots",3
Chet Atkins,Finger Pickin' Good,3
Chet Atkins,The Early Years Of Chet Atkins And His Guitar,3
Pyotr Ilyich Tchaikovsky,The Pathétique - Sixth Symphony,3
Wolfgang Amadeus Mozart,"The Piano Concerto In B Flat / Overtures: Cosi Fan Tutte, The Impresario, The Magic Flute, Don Giovanni",3
John McCarthy Chorus,The Greatest Songs Of Christmas,3
Tané Cain,Tané Cain,3
Louise Mandrell And R.C. Bannon,Me And My RC,3
Charley Pride,Pride Of America,3
Ronnie Milsap,A Legend In My Time,3
Charlie Rich,Big Boss Man / My Mountain Dew,3
Jim Ed Brown & Helen Cornelius,I'll Never Be Free,3
Kate Smith (2),The Best Of Kate Smith,3
Tony Travis (2),I See Your Face Before Me,A
Brother Dave Gardner,The Best Of Dave Gardner,3
Floyd Robinson,Floyd Robinson,7
Frankie Carle And His Orchestra,Frankie Carle Plays The Great Piano Hits,3
Jim Reeves,Twelve Songs Of Christmas,3
Floyd Cramer,The Best Of Floyd Cramer,3
The Sons Of The Pioneers,The Best Of The Sons Of The Pioneers,3
The Sons Of The Pioneers,The Best Of The Sons Of The Pioneers,3
Chet Atkins,From Nashville With Love,3
Floyd Cramer,We Wish You A Merry Christmas,3
Roberto Jordan,Roberto Jordan,5
Various,The Best Of Today's Country Hits,3
Eddy Arnold,This Is Eddy Arnold,3
"The Robert Shaw Chorale, RCA Victor Symphony Orchestra",This Is My Country,3
Charley Pride,Amazing Love,3
Jim Ed Brown & Helen Cornelius,I Don't Want To Have To Marry You,3
Chet Atkins,Stringin' Along With Chet Atkins,3
Chet Atkins,Chet Atkins In Hollywood,3
Colony House,Only The Lonely,50
Old Dominion (3),Meat And Candy,20
Dave And Sugar,Greatest Hits,3
Floyd Cramer,Collector's Series,3
Josh Groban,Noël,20
Michael Bublé,Christmas,20
