Blank,Artist,Title,CollectionFolder,Collection Price,Collection Sold Price
,John F. Kennedy,John Fitzgerald Kennedy 1917-1963 (A Memorial Album),Record Collection #111,3,3
,Julio Iglesias,En Concierto,Record Collection #106,3,3
,Unknown Artist,Babes In Toyland,Record Collection #106,3,3
,Little Luther,Steppin' High / Du Dee Squat,Record Collection #105,3,3
,Steppenwolf,The Second,220,3,3
,Steppenwolf,The Second,Record Collection #106,3,3
,Three Dog Night,Cyan,Record Collection #106,3,3
,Carly Simon,Boys In The Trees,Record Collection #105,3,3
,Richard Simmons,Reach,Record Collection #100,3,3
,The Screaming Blue Messiahs,Bikini Red,Record Collection #117,3,3
,Sheena Easton,A Private Heaven,Record Collection #97,3,3
,Sheena Easton,Do You,Record Collection #98,3,3
,Robert Palmer,Heavy Nova,Record Collection #93,3,3
,Isaac Hayes,The Isaac Hayes Movement,10,3,3
,The Village Stompers,The Original Washington Square,Record Collection #109,3,3
,Bobby Vinton,A Very Merry Christmas,Record Collection #111,5,5
,Teena Marie,Starchild,Record Collection #97,3,3
,Charlie Rich,Take Me,Record Collection #106,3,3
,REO Speedwagon,Ridin' The Storm Out,Record Collection #106,3,3
,Poco (3),The Very Best Of Poco,Record Collection #103,3,3
,REO Speedwagon,Wheels Are Turnin',Record Collection #106,3,3
,Ted Nugent,Cat Scratch Fever,Record Collection #98,3,3
,Johnny Paycheck,Armed And Crazy,Record Collection #106,3,3
,Various,Popular Koto Melodies Of Japan,9,3,3
,Steve Long (7),Let It Be Tonight ,Record Collection #92,3,3
,Trapezoid,Now & Then,Record Collection #108,3,3
,Dan Fogelberg,Windows And Walls,Record Collection #105,3,3
,Avid Dancer,1st Bath,Record Collection #102,3,3
,Erroll Garner and Art Tatum / Mike Di Napoli,Piano Greats,Record Collection #111,3,3
,George Jones (2),Good Old Bible,Record Collection #111,3,3
,Various,Thirty Years Of Bluegrass,Record Collection #111,3,3
,Tommy Jackson (2),Square Dance Jamboree!,Record Collection #98,3,3
,Little River Band,Sleeper Catcher,Record Collection #106,3,3
,Traffic,On The Road,Record Collection #111,3,3
,Magnum (3),Kingdom Of Madness,Record Collection #96,3,3
,Various,Disco Rocket,Record Collection #106,3,3
,Various,Music Express,Record Collection #106,3,3
,Various,Sundown,Record Collection #106,3,3
,Sha Na Na,The Golden Age Of Rock 'n' Roll,Record Collection #93,3,3
,The Lovin' Spoonful,Hums Of The Lovin' Spoonful,Record Collection #111,3,3
,Roger Williams (2),The Impossible Dream,Record Collection #106,3,3
,John Renbourn & Stefan Grossman,Stefan Grossman & John Renbourn,111,3,3
,Eric Gale,Forecast,Record Collection #114,3,3
,The Raindear Army,Subterranean Sunset / Aviator,322,3,3
,Roosevelt Grier,Struttin' 'N Twistin' / Let The Cool Wind Blow,Record Collection #104,3,3
,The Sunshine Company,Happy Is,192,3,3
,Bobby Vee And The Strangers (17),Come Back When You Grow Up,Record Collection #111,3,3
,The Mexicali Brass,New Hits From South Of The Border,Record Collection #111,3,3
,Z.Z. Hill,Down Home,Record Collection #89,3,3
,Freddy Fender (2),The Best Of Freddy Fender,Record Collection #111,3,3
,Bing Crosby,Merry Christmas,Record Collection #109,3,3
,Dobie Gray,Loving Arms,Record Collection #105,3,3
,Olivia Newton-John,Let Me Be There,Record Collection #106,3,3
,The Crusaders,Ghetto Blaster,Record Collection #102,3,3
,The Oak Ridge Boys,Oak Ridge Boys Greatest Hits 2,Record Collection #111,3,3
,Kim Wilde,Teases & Dares,Record Collection #100,3,3
,Loose Ends,A Little Spice,Record Collection #102,3,3
,The Oak Ridge Boys,Heartbeat,Record Collection #111,3,3
,Don Williams (2),"The Best Of Don Williams, Volume II",Record Collection #106,3,3
,Golden Earring,Moontan,Record Collection #114,3,3
,Leon Everette,Where's The Fire,181,3,3
,Bar-Kays,Nightcruising,Record Collection #89,3,3
,Smothers Brothers,Play It Straight,Record Collection #113,3,3
,Ian & Sylvia,Lovin' Sound,Record Collection #96,3,3
,Donny Osmond,Donny,Record Collection #106,3,3
,Wayne Newton,"Live At The Frontier, Las Vegas",Record Collection #106,3,3
,Hank Williams,The Very Best Of Hank Williams,Record Collection #111,3,3
,Donny & Marie Osmond,I'm Leaving It All Up To You,Record Collection #106,3,3
,Donny Osmond,Alone Together,Record Collection #106,3,3
,Donny Osmond,The Donny Osmond Album,Record Collection #106,3,3
,Donny Osmond,The Donny Osmond Album,Record Collection #106,3,3
,Donny Osmond,Portrait Of Donny,Record Collection #106,3,3
,Donny Osmond,"To You With Love, Donny",Record Collection #106,3,3
,Donny Osmond,"To You With Love, Donny",Record Collection #106,3,3
,Boots Randolph,Hit Boots,73,3,3
,Lionel Richie,Lionel Richie,Record Collection #98,3,3
,Various,The Big Chill (Original Motion Picture Soundtrack),Record Collection #113,3,3
,Diana Ross,Everything Is Everything,Record Collection #111,3,3
,The Platters,The Golden Hits Of The Platters,Record Collection #111,3,3
,George Jones (2),George Jones Greatest Hits,Record Collection #106,3,3
,Yeasayer,Amen & Goodbye,148,3,3
,Toronto (4),Get It On Credit,178,3,3
,Young Country,Young Country,Record Collection #103,3,3
,Spirit (8),Spirit,Record Collection #106,3,3
,Apricot Music Pit Band,Jazzmania,79,3,3
,Cabbage Patch Kids,A Cabbage Patch Christmas,Record Collection #89,3,3
,Quiet Riot,Metal Health,Record Collection #106,3,3
,Justin Wilson,Hunting With Justin Wilson,Record Collection #109,3,3
,Dan Siegel,Reflections,Record Collection #108,3,3
,Irwin The Disco Duck And The Wibble Wabble Singers And Orchestra,Duck Wars: Big Hits Dance Party,Record Collection #106,3,3
,MFSB,Love Is The Message,10,3,3
,The Mystic Moods Orchestra,Stormy Weekend,Record Collection #96,3,3
,Various,Rudolph The Red-Nosed Reindeer,Record Collection #106,3,3
,Jackie Gleason,The Most Beautiful Girl In The World,Record Collection #111,3,3
,Glen Campbell,A Satisfied Mind,Record Collection #102,3,3
,Glen Campbell,A Satisfied Mind,Record Collection #106,3,3
,Brian Hyland,Young Years,Record Collection #111,3,3
,The Association (2),Greatest Hits,Record Collection #111,3,3
,James Brown,Jam/1980's,Record Collection #89,3,3
,D-Train,Something's On Your Mind,Record Collection #89,3,3
,Starbuck (2),Moonlight Feels Right,Record Collection #114,3,3
,The Exotic Guitars,Exotic Country Music,Record Collection #106,3,3
,Kenny Rogers,The Heart Of The Matter,Record Collection #106,3,3
,Dr. Seuss,Dr. Seuss Presents The Cat In The Hat Songbook,Record Collection #103,3,3
,Chet Atkins,Nashville Gold,Record Collection #106,3,3
,"John Gregory & The Orchestra Unlimited, Danny Street And The Young World Singers, The Young World Singers",The Best Songs Of The Year 1980,Record Collection #106,3,3
,Various,True Value Happy Holidays Volume 18,Record Collection #106,3,3
,Wilf Carter,Montana Slim - All Time Favorites,Record Collection #98,3,3
,Evelyn King,Face To Face,Record Collection #89,3,3
,Charley Pride,Sweet Country,Record Collection #109,3,3
,Elvis Presley,The Sun Sessions,Record Collection #111,3,3
,Various,In Concert With Host Charley Pride,Record Collection #109,3,3
,Eddie Heywood,The Touch Of Eddie Heywood,Record Collection #113,3,3
,Eddy Arnold,"Sometimes I'm Happy, Sometimes I'm Blue",Record Collection #96,3,3
,Perry Como,The Perry Como Christmas Album,Record Collection #106,3,3
,Charley Pride,The Best Of Charley Pride,Record Collection #109,3,3
,Charley Pride,Christmas In My Home Town,Record Collection #109,3,3
,Buddy Rich,A Different Drummer,Record Collection #101,3,3
,Perry Como With The Ray Charles Singers With The Anita Kerr Singers,This Is Perry Como Vol. 2,Record Collection #111,3,3
,Chet Atkins,Now And...Then,Record Collection #98,3,3
,Elvis Presley,Elvis' Golden Records,Record Collection #112,3,3
,Evelyn King,Music Box,Record Collection #111,3,3
,Elvis Presley,G. I. Blues,Record Collection #111,3,3
,Chet Atkins,Guitar Country,Record Collection #106,3,3
,Bing Crosby,Christmas With Bing,Record Collection #109,3,3
,Maria Muldaur,Sweet Harmony,Record Collection #105,3,3
,The Stills-Young Band,Long May You Run,Record Collection #111,3,3
,Jim Mitchum,Toast Of The Teardrop / Tears Of Love,Record Collection #105,3,3
,The New American Guitar Ensemble : Lewis Ross (2),A Collection Of Favourite Christmas Carols,Record Collection #105,3,3
,Various,Ronco Presents Disco Fever,Record Collection #106,3,3
,Tommy James & The Shondells,Travelin',Record Collection #106,3,3
,Eric Clapton,Backless,Record Collection #111,3,3
,Various,Moment By Moment Original Movie Soundtrack,Record Collection #111,3,3
,Darwin Jones (5),Darwin Jones,Record Collection #96,3,3
,Dionne Warwick,The Dionne Warwicke Story (A Decade Of Gold),Record Collection #111,3,3
,The Mustang (2),The Beatles Song Book,Record Collection #109,3,3
,The Whispers,Open Up Your Love,Record Collection #102,3,3
,Dave & Dana,Come On In,Record Collection #111,3,3
,Slim Boyd,Hits Made Famous By Hank Williams,Record Collection #106,3,3
,Elvis Presley,Interviews And Memories Of:  The Sun Years,Record Collection #111,3,3
,Trapeze Featuring Glenn Hughes,The Final Swing,Record Collection #93,3,3
,Catherine Irwin,Little Heater,304,3,3
,No Artist,Miscellaneous,Record Collection #93,3,3
,Laurindo Almeida,Acapulco '22,Record Collection #98,3,3
,Various,Anthology Of The Banjo,Record Collection #96,3,3
,Michel Sardou,Les Lacs Du Connemara,Record Collection #91,3,3
,Neil Diamond,Gold,Record Collection #111,3,3
,Neil Diamond,Tap Root Manuscript,Record Collection #111,3,3
,Kenny Rogers,Daytime Friends,Record Collection #106,3,3
,Brass Construction,Brass Construction IV,Record Collection #89,3,3
,Traffic,John Barleycorn Must Die,Record Collection #111,3,3
,J. Balvin,JOSE,Record Collection #105,3,3
,The Roto Rooter Good Time Christmas Band,The Roto Rooter Good Time Christmas Band,Record Collection #113,3,3
,Kai Winding,Penny Lane & Time,Record Collection #113,3,3
,Walter Wanderley Trio,Cheganca,Record Collection #113,3,3
,Gary McFarland,Sympathetic Vibrations,Record Collection #113,3,3
,Mike Oldfield,Tubular Bells,Record Collection #114,3,3
,Richie Spice,Gideon Boot,Record Collection #97,3,3
,The Kingsmen,The Kingsmen In Person,Record Collection #91,3,3
,Petula Clark,"Petula Clark's Greatest Hits, Vol. 1",Record Collection #111,3,3
,The Association (2),Greatest Hits!,Record Collection #111,3,3
,The Association (2),The Association,Record Collection #93,3,3
,Seals & Crofts,Summer Breeze,Record Collection #106,3,3
,Bonnie Raitt,Home Plate,Record Collection #97,3,3
,Leo Sayer,Endless Flight,Record Collection #111,3,3
,Couchois,Couchois,Record Collection #115,3,3
,Rickie Lee Jones,Rickie Lee Jones,Record Collection #105,3,3
,Christopher Cross,Christopher Cross,Record Collection #105,3,3
,Chaka Khan,Naughty,Record Collection #102,3,3
,Leo Sayer,Endless Flight,245,3,3
,"Peter, Paul & Mary",See What Tomorrow Brings,Record Collection #105,3,3
,China Crisis,Flaunt The Imperfection,Record Collection #98,3,3
,The Turtles,Turtles' Golden Hits,178,3,3
,Various,Windham Hill Records Sampler '82,Record Collection #105,3,3
,Various,An Evening With Windham Hill Live,Record Collection #98,3,3
,William Ackerman,It Takes A Year,Record Collection #98,3,3
,Alex De Grassi,Turning: Turning Back,Record Collection #105,3,3
,William Ackerman,Passage,Record Collection #105,3,3
,Various,Harlem Odyssey,Record Collection #100,3,3
,The Art Of Noise,Into Battle With The Art Of Noise,Record Collection #98,3,3
,The Art Of Noise,Beat Box,Record Collection #98,3,3
