Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Price,Collection Sold Price,Collection Notes
CS 9704,The Dave Brubeck Trio Featuring Gerry Mulligan,Compadres,Columbia,"LP, Album",,1968,3045518,Record Collection #105,2025-09-24 08:45:01,,,
FC 37052,Judas Priest,Point Of Entry,Columbia,"LP, Album, San",,1981,4822280,Record Collection #110,2026-01-19 07:20:31,15,,A
FC 39326,Ramsey Lewis & Nancy Wilson,The Two Of Us,Columbia,"LP, Album",,1984,1756141,Record Collection #105,2025-09-26 08:19:22,,,
JS 1,Various,Columbia Jazz Festival,Columbia,"LP, Smplr",,1959,2977736,Record Collection #111,2026-01-23 18:03:15,,,
KC 31470,Vikki Carr,Vikki Carr En Español: Los Exitos De Hoy Y De Siempre (The Hits Of Today And Always),Columbia,"LP, Album, Gat",,1972,2577409,Record Collection #111,2026-01-23 18:38:45,,,A
KC 31646,Sonny James,When The Snow Is On The Roses,Columbia,"LP, Album",,1972,3266493,Record Collection #111,2026-01-25 09:46:28,,,A
KC 32164,Percy Faith,Clair,Columbia,"LP, Album",,1973,1557192,Record Collection #111,2026-01-23 18:19:22,,,
KC 32729,Alvin Lee & Mylon LeFevre,On The Road To Freedom,Columbia,"LP, Album, Gat",,1973,1577770,Record Collection #98,2026-04-01 22:26:05,,,A
KC 33340,Vikki Carr,Hoy (Today),Columbia,"LP, Album",,1975,6928413,Record Collection #111,2026-01-23 13:14:30,,,A
KCS 9914,Simon & Garfunkel,Bridge Over Troubled Water,Columbia,"LP, Album, San",,1970,605328,Record Collection #114,2026-03-03 08:05:39,5,,A
KCS 9943,Johnny Cash,"Hello, I'm Johnny Cash",Columbia,"LP, Album, Pit",,1970,1430833,Record Collection #117,2026-04-02 13:50:38,5,,A
KG 31494,Tony Bennett,All Time Greatest Hits,Columbia,"2xLP, Comp",,1972,3372734,Record Collection #106,2025-10-27 19:38:05,,,
KG 32656,Vikki Carr,Live At The Greek Theatre,Columbia,"2xLP, Album",,1973,15797223,Record Collection #111,2026-01-28 21:40:12,,,A
KGP 20,The Chambers Brothers,"Love, Peace And Happiness / Live At Bill Graham's Fillmore East",Columbia,"2xLP, Album, San",,1969,1635436,Record Collection #98,2026-04-01 22:24:23,,,
OC 39480,Barbra Streisand,Emotion,Columbia,"LP, Album, Car",,1984,9686395,Record Collection #97,2025-06-24 12:57:38,,,
PC 33799,Don Elliott,Rejuvenation,Columbia,"LP, Album",,1975,6952178,Record Collection #105,2025-09-22 07:40:19,,,
PC 33965,Neil Diamond,Beautiful Noise,Columbia,"LP, Album, Gat",,1976,1359005,Record Collection #106,2025-10-24 14:23:43,,,
PC 34274,Jane Olivor,First Night,Columbia,"LP, Album",,1976,3024901,Record Collection #111,2026-01-28 21:49:44,,,A
TC 37678,Barbra Streisand,Memories,Columbia,"LP, Album, Comp, Ter",,1981,1766802,Record Collection #111,2026-01-23 19:19:34,,,
AOL 5090,"Rex Harrison, Julie Andrews",My Fair Lady,Columbia Masterworks,"LP, Album, Mono, RE",,1973,8216479,Record Collection #111,2026-01-25 15:53:36,,,
DOS 708,Edgar Lansbury,The Subject Was Roses (Original Broadway Cast),Columbia Masterworks,"3xLP, Album + Box",,1964,7601629,Record Collection #111,2026-01-25 18:52:15,,,
MS 7194,Walter Carlos,Switched-On Bach,Columbia Masterworks,"LP, Album, RE, San",,1972,5470019,Record Collection #89,2025-05-06 07:17:09,,,
C 11297,Percy Faith,Percy Faith Plays Latin Themes For Young Lovers,Columbia Special Products,"LP, Album, Mono",,1965,9793446,Record Collection #111,2026-01-30 08:07:14,,,
CSS 1508,Various,The Great Old Time Radio Stars,Columbia Special Products,"LP, Comp, Pit",,0,3865465,Record Collection #100,2025-07-28 13:42:13,,,A
CSS 645,Various,"Armstrong Presents Cole Porter's Kiss Me, Kate - Original ABC Television Sound Track",Columbia Special Products,"LP, Album, Ltd",,1968,11167008,Record Collection #100,2025-07-28 12:46:27,,,
P 13282,André Kostelanetz And His Orchestra,Traces,Columbia Special Products,"LP, Album",,0,19908949,Record Collection #111,2026-01-25 19:01:34,,,A
"CWM-1, CWM 1",Various,Country Music Festival,"Columbia, Columbia","LP, Comp, Mono, Promo",,1963,31231240,Record Collection #106,2025-10-17 17:11:37,,,A
"JC 34902, 34902",Freddie Hubbard,Bundle Of Joy,"Columbia, Columbia","LP, Album, San",,1977,33323196,Record Collection #102,2025-08-11 13:40:12,,,
"PC 34200, 34200",Chicago (2),Chicago X,"Columbia, Columbia","LP, Album, San",,1976,9736518,Record Collection #106,2025-10-24 14:24:22,,,
"PC 34680, 34680",Dave Mason,Let It Flow,"Columbia, Columbia","LP, Album, Ter",,1977,1386759,Record Collection #100,2025-07-28 12:52:16,,,A
"PC 34917, 34917",Jane Olivor,Chasing Rainbows,"Columbia, Columbia","LP, Album, San",,1977,2430443,Record Collection #105,2025-09-26 14:24:23,,,A
88697784421,Journey,Greatest Hits,"Columbia, Legacy","2xLP, Comp, RE, RM",,2011,3452044,Record Collection #117,2026-04-02 15:57:31,20,,A
"60258-1, 9 60258-1",Jon Gibson,Standing On The One,"Constellation (2), Constellation (2)","LP, Album, Promo, All",,1983,15963121,Record Collection #95,2025-06-02 10:37:00,15,,A
MCA-5832,Klymaxx,Klymaxx,"Constellation (2), MCA Records","LP, Album, Glo",,1986,10370647,Record Collection #102,2025-08-11 14:19:50,,,A
SD 5219,Stacy Lattisaw,Let Me Be Your Angel,Cotillion,"LP, Album, SP ",,1980,494246,Record Collection #116,2026-03-13 07:45:26,,,A
"CST-346, CST 346",The Scottsville Squirrel Barkers,Blue Grass Favorites,"Crown Records (2), Crown Records (2)","LP, Album, RP",,1970,12801566,Record Collection #113,2026-02-02 18:02:39,15,,A
CTI 7071,Hubert Laws,The San Francisco Concert,CTI Records,"LP, Album",,1977,880992,Record Collection #96,2026-04-01 21:40:28,,,
KU-06,Hank Crawford,Help Me Make It Through The Night,CTI Records,"LP, Album",,1972,7712629,Record Collection #98,2025-07-08 08:50:35,,,
DBR 103,Danny Gaither,It Is Well With My Soul,Daybreak Records,LP,,1976,5361455,Record Collection #111,2026-01-23 18:25:44,10,,A
"DSR 8502, 6337 192",Kool & The Gang,Something Special,"De-Lite Records, De-Lite Records","LP, Album, 53 ",,1981,868321,Record Collection #117,2026-04-02 14:28:21,5,,A
DL 75146,David Clayton-Thomas,David Clayton-Thomas!,Decca,"LP, Album, Glo",,1969,1601786,Record Collection #93,2025-05-20 13:10:15,,,A
DXSW 7205,The Who,Tommy,Decca,"2xLP, Album, Pin",,1969,416538,Record Collection #117,2026-04-02 15:07:27,10,,A
SDLP-912,Lawrence Welk / Henry King (8) / Freddy Martin,Three Of A Kind (3 Top Stars Of Romantic Mood Music),Design Records (2),"LP, Comp",,0,6139295,Record Collection #111,2026-01-30 08:01:36,,,A
10000,John F. Kennedy,John Fitzgerald Kennedy 1917-1963 (A Memorial Album),Diplomat Records,"LP, Album, Mono",,1963,1304407,Record Collection #111,2026-01-23 12:47:26,,,
"DJ2L 50334, DJ2-L50334, 50334",Julio Iglesias,En Concierto,"Discos CBS International, Discos CBS International, Discos CBS International","2xLP, Album, Gat",,1983,4314630,Record Collection #106,2025-10-24 14:16:24,,,
DR-004-D,"Paul Smith (5) With Monty Budwig, Frank Capp, Barney Kessel",The Good Life,Discwasher Recordings,"LP, Album",,1979,3007497,Record Collection #105,2025-09-24 09:33:32,5,,A
DQ-1219,Unknown Artist,Babes In Toyland,Disneyland,"LP, Album",,1961,5045332,Record Collection #106,2025-10-24 14:14:51,,,
45-16325,Little Luther,Steppin' High / Du Dee Squat,Dot Records,"7""",,1962,6992035,Record Collection #105,2025-10-01 07:31:04,,,
DLP 3631,Eddie Fisher,Eddie Fisher Today!,Dot Records,"LP, Album, Mono",,1965,3686009,Record Collection #111,2026-01-23 18:45:59,,,A
DOS-26010,Roy Clark,Come Live With Me,Dot Records,"LP, Album, Pre",,1973,1608445,Record Collection #106,2025-10-24 15:33:25,,,A
DDW048LPX,Hatchie,Sugar & Spice,"Double Double Whammy, Ivy League","12"", S/Sided, EP, Etch",,2018,12061555,Record Collection #102,2025-08-11 15:11:37,15,,A
DS-50037,Steppenwolf,The Second,"Dunhill, ABC Records","LP, Album",,1968,2362461,Individual Find,2025-08-25 21:31:09,,,
DS-50037,Steppenwolf,The Second,"Dunhill, ABC Records","LP, Album",,1968,2362461,Record Collection #106,2025-10-25 00:38:47,,,
"DSX 50158, DSX-50158",Three Dog Night,Cyan,"Dunhill, Dunhill, ABC Records, ABC Records","LP, Album, Pit",,1973,13651060,Record Collection #106,2025-10-24 14:56:53,,,
566449-1,Rainbow Kitten Surprise,"How To: Friend, Love, Freefall",Elektra,"LP, Album, RP",,2024,36172822,Record Collection #117,2026-04-02 16:11:15,20,,A
6E-128,Carly Simon,Boys In The Trees,Elektra,"LP, Album, SP-",,1978,905197,Record Collection #105,2025-09-22 21:37:40,,,
6E-151,Carole Bayer Sager,...Too,Elektra,"LP, Album, SP ",,1978,1963980,Record Collection #113,2026-02-06 08:33:30,,,A
6E-305,"Grover Washington, Jr.",Winelight,Elektra,"LP, Album, AR ",,1980,3835271,Individual Find,2025-10-20 08:41:32,5,,A
7E-1034,Tony Orlando & Dawn,"He Don't Love You, Like I Love You",Elektra,"LP, Album, San",,1975,8637674,Record Collection #96,2026-04-01 21:52:24,,,A
7E-1076,Judy Collins,Bread & Roses,Elektra,"LP, San",,1976,9783154,Record Collection #105,2025-09-26 12:02:57,,,A
E1-60122 F,Richard Simmons,Reach,Elektra,"LP, Album",,1982,1631515,Record Collection #100,2025-07-28 11:27:06,,,
EKS-75030 ,Judy Collins,Colors Of The Day (The Best Of Judy Collins),Elektra,"LP, Comp, Pit",,1972,1905040,Record Collection #98,2026-04-01 22:26:57,,,A
"9 60755-1, 60755-1",The Screaming Blue Messiahs,Bikini Red,"Elektra, Elektra","LP, Album, Spe",,1987,1133406,Record Collection #117,2026-04-02 14:03:28,,,
EM 1001,Lex De Azevedo,Saturday's Warrior,Embryo Records (6),2xLP,,1974,3295236,Record Collection #98,2025-07-08 14:37:02,,,A
ST-17080,Sheena Easton,"Madness, Money And Music",EMI America,"LP, Album, Win",,1982,1846060,Record Collection #96,2026-04-01 22:03:27,,,A
ST-17132,Sheena Easton,A Private Heaven,EMI America,"LP, Album, Club, RCA",,1984,6220275,Record Collection #97,2025-06-24 12:48:07,,,
ST-17132,Sheena Easton,A Private Heaven,EMI America,"LP, Album",,1984,5256687,Record Collection #98,2025-07-08 15:37:43,,,A
"SJ-17173, SV-17173, ST-17173",Sheena Easton,Do You,"EMI America, EMI America, EMI America","LP, Album",,1985,4229311,Record Collection #98,2025-07-08 15:14:33,,,
E1-48057,Robert Palmer,Heavy Nova,EMI-Manhattan Records,"LP, Album, SRC",,1988,1772947,Record Collection #93,2025-05-20 07:41:39,,,
ENS-1010,Isaac Hayes,The Isaac Hayes Movement,Enterprise,"LP, Album, Gat",,1970,491954,Individual Find,2026-03-23 07:06:12,,,
BN 26078,The Village Stompers,The Original Washington Square,Epic,"LP, Album, Col",,1963,30947053,Record Collection #109,2026-01-19 10:18:06,,,
BN 26098,Bobby Vinton,Bobby Vinton's Greatest Hits,Epic,"LP, Comp, RP",,1965,2196121,Record Collection #111,2026-01-30 07:48:29,,,A
BN 26122,Bobby Vinton,A Very Merry Christmas,Epic,"LP, Album",,1964,9997541,Record Collection #111,2026-03-31 23:19:41,5,,
BN 26154,Bobby Vinton,Bobby Vinton Sings For Lonely Nights,Epic,"LP, Album, Pit",,1965,35411959,Record Collection #109,2026-01-19 09:11:45,,,A
BN 26517,Bobby Vinton,Bobby Vinton's Greatest Hits Of Love,Epic,"LP, Comp",,1970,13702234,Record Collection #111,2026-01-23 17:53:14,,,A
FE 37996,Ricky Skaggs,Highways & Heartaches,Epic,"LP, Album, Pit",,1982,15151242,Record Collection #98,2025-07-08 13:51:42,,,A
FE 38313,Charly McClain,Greatest Hits,Epic,"LP, Comp",,1982,3806702,Record Collection #97,2025-06-24 10:56:48,,,A
FE 39292,Mickey Gilley And Charly McClain,It Takes Believers,Epic,"LP, Album",,1984,3805483,Record Collection #111,2026-01-28 21:52:16,,,A
FE 39528,Teena Marie,Starchild,Epic,"LP, Album, Car",,1984,1697040,Record Collection #97,2025-06-24 15:04:13,,,
FE 39871,Charly McClain,Radio Heart,Epic,"LP, Album",,1985,3017267,Record Collection #97,2025-06-24 10:52:33,,,A
KE 31286,Bobby Vinton,Ev'ry Day Of My Life,Epic,"LP, Album",,1972,25881475,Record Collection #111,2026-01-23 19:22:09,,,A
KE 31642,Bobby Vinton,Sealed With A Kiss,Epic,"LP, Album, Pit",,1972,2936077,Record Collection #111,2026-01-25 09:52:41,,,A
KE 34444,Charlie Rich,Take Me,Epic,"LP, Album, Ter",,1977,13119155,Record Collection #106,2025-10-24 15:37:26,,,
KE 35045,Johnny Paycheck,Take This Job And Shove It,Epic,"LP, Album, Promo",,1977,4923451,Record Collection #117,2026-04-02 16:05:45,5,,A
PE 32378,REO Speedwagon,Ridin' The Storm Out,Epic,"LP, Album, RE",,0,6765896,Record Collection #106,2025-10-25 00:32:35,,,
PEG 33537,Poco (3),The Very Best Of Poco,Epic,"2xLP, Comp, San",,1975,13233926,Record Collection #103,2025-08-29 10:06:36,,,
QE 39593,REO Speedwagon,Wheels Are Turnin',Epic,"LP, Album, Pit",,1984,2064635,Record Collection #106,2025-10-24 14:44:52,,,
"JE 34700, 34700",Ted Nugent,Cat Scratch Fever,"Epic, Epic","LP, Album, Ter",,1977,4363343,Record Collection #98,2025-07-08 16:51:36,,,
"KE 35444, 35444",Johnny Paycheck,Armed And Crazy,"Epic, Epic","LP, Album, Ter",,1978,2878931,Record Collection #106,2025-10-24 15:32:36,,,
"KE 36014, 36014",Johnny Rodriguez (4),Rodriguez,"Epic, Epic","LP, Album",,1979,2460532,Record Collection #111,2026-01-23 18:40:33,,,A
PE 34381,Engelbert Humperdinck,After The Lovin',"Epic, MAM","LP, Album",,1976,3456618,Record Collection #111,2026-01-23 13:52:50,,,A
BU4140,Various,The Idols,ERA Records,"LP, Comp",,1981,8647564,Record Collection #111,2026-01-30 08:31:37,,,A
LPBR 5112,Randy Van Horne Singers,Sleighride,Everest,"LP, Mono",,1960,2726710,Record Collection #106,2025-10-24 15:02:41,,,A
"3347, SDBR 3347 (E)",Various,Popular Koto Melodies Of Japan,"Everest, Everest",LP,,1973,1677530,Individual Find,2026-03-24 06:26:26,,,
"LC-001, LC-002",Steve Long (7),Let It Be Tonight ,"Family Records (21), Family Records (21)","7"", Single",,0,6581579,Record Collection #92,2025-05-15 22:53:17,,,
8393,Creedence Clearwater Revival,Green River,Fantasy,"LP, Album, Roc",,1969,1132211,Record Collection #117,2026-04-02 13:44:13,10,,A
8402,Creedence Clearwater Revival,Cosmo's Factory,Fantasy,"LP, Album, Hol",,1970,1018597,Record Collection #117,2026-04-02 13:54:19,10,,A
F-9548,Stanley Turrentine,West Side Highway,Fantasy,"LP, Album, Pit",,1978,19435705,Record Collection #114,2026-02-24 06:17:04,5,,A
FF 239,Trapezoid,Now & Then,Flying Fish (2),"LP, Album, PRC",,1980,17708767,Record Collection #108,2026-01-19 07:02:36,,,
FF 280,Tom Paxton,Even A Gray Day,Flying Fish (2),"LP, Album",,1983,2945561,Record Collection #105,2025-09-26 12:53:04,,,A
FR-8101,The Lundstroms,A Fresh Touch,Fresh Rain,"LP, Album",,1981,10594302,Record Collection #111,2026-01-30 14:58:06,10,,A
FR-8202,Lundstrom Singers,Movin' Ahead,Fresh Rain,"LP, Album",,1982,5039893,Record Collection #111,2026-01-25 09:28:36,,,A
FR-8902,Lundstrom Singers,Crusade Favorites,Fresh Rain,LP,,1989,6650217,Record Collection #111,2026-01-25 15:27:23,7,,A
531792-1,Twenty One Pilots,Vessel,Fueled By Ramen,"LP, Album, Ltd, Cle",,2014,5735339,Record Collection #117,2026-04-02 14:25:11,15,,A
548932-1,Twenty One Pilots,Blurryface,Fueled By Ramen,"2xLP, Album",,2015,7224934,Record Collection #117,2026-04-02 14:22:30,20,,A
553138-1,Panic! At The Disco,Death Of A Bachelor,Fueled By Ramen,"LP, Album",,2016,8324787,Record Collection #117,2026-04-02 15:31:01,15,,A
561588-1,Paramore,After Laughter,Fueled By Ramen,"LP, Album, Bla",,2017,10717161,Record Collection #117,2026-04-02 16:02:07,20,,A
7567-86571-7,Panic! At The Disco,Pray For The Wicked,"Fueled By Ramen, DCD2, Crush Music (2)","LP, Album, Ltd, Bla",,2018,12158470,Record Collection #117,2026-04-02 15:20:54,20,,A
"7567-89561-3, 518250-1",Paramore,Brand New Eyes,"Fueled By Ramen, Fueled By Ramen","LP, Album, RP",,2015,7706611,Record Collection #117,2026-04-02 14:01:02,30,,A
QE 38308,Dan Fogelberg,Greatest Hits,"Full Moon, Epic","LP, Comp, Car",,1982,1329690,Record Collection #96,2026-04-01 21:44:26,,,A
QE 39004,Dan Fogelberg,Windows And Walls,"Full Moon, Epic","LP, Album, Car",,1984,1865428,Record Collection #105,2025-09-26 15:30:06,,,
LP-2469,Flavia Band,Good-Bye Bambina,Gabor Records,"LP, Album",,1975,13254069,Record Collection #93,2025-05-20 09:47:32,3,,A
KZ 31991,The Intruders,Save The Children,Gamble,"LP, Album, San",,1973,1263917,Record Collection #102,2025-08-11 14:14:23,5,,A
GHS 24042,Eric Carmen,Eric Carmen,Geffen Records,"LP, Album",,1984,14680017,Record Collection #97,2025-06-24 12:42:14,,,A
GJ0003-1,Avid Dancer,1st Bath,Grand Jury,"LP, Ltd, mil",,2015,6999740,Record Collection #102,2025-08-11 15:15:08,,,
GRAPEVINE 124,Dave & Dana,Morning Star,Grapevine (2),"LP, Album, Sky",,1978,24700508,Record Collection #111,2026-01-23 16:13:50,,,A
2103-718,The Mills Brothers,The Very Best Of The Mills Brothers ,GRT,"2xLP, Comp",,1977,4438275,Record Collection #109,2026-01-19 10:22:02,5,,A
G 1403,Erroll Garner and Art Tatum / Mike Di Napoli,Piano Greats,Guest Star,"LP, Album, Comp, Mono",,1962,2652380,Record Collection #111,2026-01-23 15:53:39,,,
GT-0043,George Jones (2),Good Old Bible,Gusto Records (2),"LP, Album, RE",,1978,4425892,Record Collection #111,2026-01-25 18:38:53,,,
"GT 101, GT•101",Various,Thirty Years Of Bluegrass,"Gusto Records (2), Gusto Records (2), Lakeshore Music","2xLP, Comp, Red",,1977,6408230,Record Collection #111,2026-01-25 09:26:22,,,
HLP 12129,Tommy Jackson (2),Square Dance Jamboree!,Hamilton,LP,,1964,2897981,Record Collection #98,2026-04-01 22:30:55,,,
HS 11249,Various,Golden Sounds Of Country Music,Harmony (4),"LP, Comp, RE",,1968,4840000,Record Collection #106,2025-10-17 16:55:06,,,A
HS 11270,Jimmy Dean,The Country's Favorite Son,Harmony (4),"LP, Pit",,1968,6047233,Record Collection #106,2025-10-24 15:24:15,,,A
SW-11783,Little River Band,Sleeper Catcher,Harvest,"LP, Album, Jac",,1978,4733130,Record Collection #106,2025-10-25 00:46:28,,,
S1013,Heritage Singers USA,Let's Just Praise The Lord,Heritage Records (4),LP,,0,14400876,Record Collection #111,2026-01-23 16:16:22,10,,A
HSR-130,Jan Garber And His Orchestra,"The Uncollected Jan Garber, 1939-1941",Hindsight Records (2),"LP, Album, Mono",,1978,4398108,Record Collection #97,2025-06-24 14:17:20,,,A
none,Marvin Payne,Grasshopper,Homespun Records (6),"LP, Album",,1974,7392400,Record Collection #97,2025-07-07 15:57:06,,,A
"R 3171, R3171","Bill & Gloria Gaither, Ronn Huff",Alleluia! A Praise Gathering for Believers,"Impact (7), Impact (7)","LP, Album",,1973,5322698,Record Collection #111,2026-01-23 19:14:30,5,,A
"AK-179, AKS-179",The Charleston Trio,The Charleston Trio Sing Americana,"International Award Series, International Award Series",LP,,0,15861222,Record Collection #111,2026-01-25 18:28:49,,,A
ISLA 2,Traffic,On The Road,Island Records,"2xLP, Album, RP",,1975,4454982,Record Collection #111,2026-01-23 15:58:19,,,
"9-25448-1, 1-25448",Steve Winwood,Back In The High Life,"Island Records, Island Records","LP, Album, Spe",,1986,1428706,Record Collection #116,2026-03-13 07:13:35,5,,A
"JLS-3033, JLS 3033",Potliquor,Levee Blues,"Janus Records, Janus Records","LP, Album",,1971,2803737,Record Collection #114,2026-03-19 08:24:12,7,,A
JB-055,Norfolk & Western,A Gilded Age,Jealous Butcher Records,"LP, EP",,2006,959164,Record Collection #115,2026-03-09 12:38:45,10,,A
JSS-5002,Damascus Road,A Glimpse Of Freedom,JesuSongs,LP,,1977,7692768,Record Collection #111,2026-01-23 15:30:53,10,,A
JZ 35811,Magnum (3),Kingdom Of Madness,Jet Records,"LP, Album, M/Print, Promo",,1978,2235677,Record Collection #96,2026-04-01 21:53:23,,,
"KZ 35604, 35604",Carl Perkins,Ol' Blue Suede's Back,"Jet Records, Jet Records","LP, Album, Pit",,1978,34744158,Record Collection #109,2026-01-19 10:30:42,,,A
NE 948,Various,Disco Rocket,K-Tel,"LP, Album, Comp",,1976,784173,Record Collection #106,2025-10-27 19:34:02,,,
TU 2420,Various,Music Express,K-Tel,"LP, Comp, Gol",,1975,12219615,Record Collection #106,2025-10-17 17:32:54,,,
WU 3450,Various,County Line (Cross Over To Country Original Hits & Stars),K-Tel,"LP, Comp, 61",,1979,8466217,Record Collection #111,2026-01-30 08:36:42,,,A
WU 3530,Various,Sundown,K-Tel,"LP, Comp",,1980,3136918,Record Collection #106,2025-10-24 15:11:08,,,
KLP 160,Phil Coulter,Classic Tranquility,K-Tel International,"LP, Album",,1983,8691476,Record Collection #98,2025-07-08 09:27:22,,,A
WU 3430,Various,SuperStars In Country Music,"K-Tel International (USA), Inc.","LP, Comp, 09",,1978,6429392,Record Collection #106,2025-10-24 15:38:00,,,A
"NC 583, SL 8486",Frank Mills,The Magic Of Frank Mills,"K-Tel, Capitol Special Markets","LP, Album, Comp",,1984,6032681,Record Collection #97,2025-06-24 12:13:13,,,A
KSBS 2073-2,Sha Na Na,The Golden Age Of Rock 'n' Roll,Kama Sutra,"2xLP, Album, Ter",,1973,1474244,Record Collection #93,2025-05-20 07:55:06,,,
KSBS 2078,Ian Lloyd & Stories,Traveling Underground,Kama Sutra,"LP, Album, Son",,1973,6376017,Individual Find,2025-08-27 21:04:54,5,,A
"KLP-8056, KLP 8056",The Lovin' Spoonful,The Best Of The Lovin' Spoonful,"Kama Sutra, Kama Sutra","LP, Comp, Mono, Gat",,1967,1205127,Record Collection #111,2026-01-23 18:59:56,7,,A
"KLPS-8054, KLPS 8054",The Lovin' Spoonful,Hums Of The Lovin' Spoonful,"Kama Sutra, Kama Sutra","LP, Album, Wad",,1966,3020780,Record Collection #111,2026-01-23 19:02:11,,,
"KSBS 2068, KSBS-2068",Stories,About Us,"Kama Sutra, Kama Sutra","LP, Album, RP, Mon",,1973,8767707,Individual Find,2025-08-27 20:45:30,5,,A
"KLP-8058 ST, KLP-8058, KLP 8058",The Lovin' Spoonful,You're A Big Boy Now - The Original Sound Track Album,"Kama Sutra, Kama Sutra, Kama Sutra","LP, Album, Mono",,1967,2188892,Record Collection #111,2026-01-23 18:55:33,7,,A
KL-1425,Billy Edd Wheeler,Memories Of America / Ode To The Little Brown Shack Out Back,Kapp Records,"LP, Album, Mono, Ind",,1964,3254769,Record Collection #108,2026-01-30 08:26:08,,,A
KS-3336,Roger Williams (2),For You,Kapp Records,LP,,1963,2352797,Record Collection #109,2026-01-19 09:27:33,,,A
KS-3550,Roger Williams (2),The Impossible Dream,Kapp Records,"LP, Album",,1968,5796397,Record Collection #106,2025-10-24 14:41:43,,,
KM 152,John Renbourn & Stefan Grossman,Stefan Grossman & John Renbourn,Kicking Mule Records,"LP, Album",,1978,3124048,Individual Find,2025-12-12 09:01:23,,,
KM 175,Chris Proctor,Runoff,Kicking Mule Records,"LP, Album",,1982,2543476,Record Collection #105,2025-09-26 15:20:11,5,,A
KK 1011,Marvin Gaye,Marvin Gaye's Greatest Hits Volume 2,Kory Records,"LP, Comp, RP",,1977,1820190,Record Collection #117,2026-04-02 14:39:46,10,,A
"KU-11, KUDU 11",Eric Gale,Forecast,"Kudu, Kudu","LP, Album",,1973,621401,Record Collection #114,2026-03-02 06:30:27,,,
LES 4056,Various,15 Top Ten Hits: Volume One,Laurie Records,"LP, Comp",,1984,7331939,Record Collection #111,2026-01-25 15:41:13,,,A
LAX 1051,Circle Jerks,Golden Shower Of Hits,LAX Records,"LP, Album",,1983,918590,Record Collection #116,2026-03-11 09:01:06,45,,A
18811,The Raindear Army,Subterranean Sunset / Aviator,Ledger Records,"7"", Single, Mono, Styrene",,1967,3866722,Uncategorized,2025-05-15 22:23:24,,,
SL 7025,Melveen Leed,Melveen--The Hawaiian Country Girl,Lehua,LP,,1976,7040390,Record Collection #117,2026-04-02 14:48:46,5,,A
SL 7030,Melveen Leed,My Hawaiian Song Of Love,Lehua,LP,,1977,7040216,Record Collection #117,2026-04-02 14:51:27,7,,A
SL 7036,Melveen Leed,I Love You Hawaii,Lehua,LP,,1978,4735851,Record Collection #117,2026-04-02 14:53:56,5,,A
SL-7046,Melveen Leed,Melveen With The Best Of Slack-Key,Lehua,"LP, Album",,1980,4898821,Record Collection #117,2026-04-02 14:57:09,7,,A
F-55413,Roosevelt Grier,Struttin' 'N Twistin' / Let The Cool Wind Blow,Liberty,"7"", Promo",,1962,4586065,Record Collection #104,2025-09-17 08:47:51,,,
LP-9359,The Sunshine Company,Happy Is,Liberty,"LP, Mono, RE",,1970,34289884,Uncategorized,2025-09-22 07:08:26,,,
LST-7464,Bobby Vee,Golden Greats Volume Two,Liberty,"LP, Comp",,1966,9168572,Record Collection #111,2026-01-25 15:55:45,,,A
LST-7468,Gary Lewis & The Playboys,Golden Greats,Liberty,"LP, Comp, Gat",,1966,2895006,Record Collection #111,2026-01-25 09:38:57,,,A
LST-7534,Bobby Vee And The Strangers (17),Come Back When You Grow Up,Liberty,"LP, Album",,1967,8947191,Record Collection #111,2026-01-25 15:57:49,,,
LST-7646,Kentucky Express,Kentucky Express,Liberty,"LP, Album",,1970,6930184,Record Collection #97,2025-06-24 11:54:26,10,,A
LT-51120,Michael Martin Murphey,Michael Martin Murphey,Liberty,"LP, Album, Los",,1982,1706536,Record Collection #105,2025-09-26 11:47:26,,,A
LS 6002,Henry Gross,Release,Lifesong,"LP, Album, San",,1976,412730,Record Collection #93,2025-05-20 11:31:51,,,A
LS-5679-LP,The Archers (3),...Things We Deeply Feel,Light Records,"LP, Album",,1975,4109881,Record Collection #105,2025-09-24 08:30:35,,,A
"LWCP 2, LWS 333",The Mexicali Brass,New Hits From South Of The Border,"Longines Symphonette Society, Longines Symphonette Society","LP, Album, Promo",,0,2832176,Record Collection #111,2026-01-25 09:23:12,,,
RPROLP 4471,Big Punisher,How We Roll,Loud Records,"12"", Promo",,2001,1169035,Record Collection #111,2026-01-23 19:12:38,,,A
"MAL 7406, 7406",Z.Z. Hill,Down Home,"Malaco Records, Malaco Records","LP, Album, Ter",,1982,2529630,Record Collection #89,2025-05-07 07:17:33,,,
ST-53037,R.J.'s Latest Arrival,Hold On,Manhattan Records,"LP, Album, Spe",,1986,326593,Record Collection #102,2025-08-11 14:42:30,,,A
HS-028,Erick Nelson (2),Flow River Flow,Maranatha! Music,"LP, Album",,1976,3575837,Record Collection #108,2026-01-19 07:08:06,,,A
MM0107A,Praise Strings,The Best Of Praise Strings,Maranatha! Music,LP,,1983,34716066,Record Collection #111,2026-01-25 10:36:34,,,A
MJS-57601,Ashley Alexander (2),Plays Frank Mantooth,Mark Records,"LP, Album",,1982,1927386,Record Collection #101,2025-08-05 10:35:11,15,,A
